framework,version,device,op_name,kernel_source,nccl_dtype,num_gpus,message_size,latency
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,536870912,2.8436999999999997
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,256,0.01076
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,512,0.01077
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,1024,0.01103
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,2048,0.01102
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,4096,0.01184
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,8192,0.013880000000000002
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,16384,0.01508
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,32768,0.015380000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,65536,0.015519999999999999
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,131072,0.015880000000000002
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,262144,0.01861
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,524288,0.02253
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,1048576,0.05293
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,2097152,0.060700000000000004
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,4194304,0.07319
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,8388608,0.11850000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,16777216,0.1765
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,33554432,0.32539999999999997
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,67108864,0.5785
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,134217728,1.1064
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,half,4,268435456,2.102
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,512,0.01081
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,1024,0.01087
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,2048,0.0109
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,4096,0.01133
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,8192,0.011710000000000002
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,16384,0.0136
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,32768,0.01503
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,65536,0.01534
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,131072,0.01564
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,262144,0.01574
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,524288,0.01831
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,1048576,0.022760000000000002
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,2097152,0.05267
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,4194304,0.06065
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,8388608,0.07486
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,16777216,0.1183
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,33554432,0.1766
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,67108864,0.325
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,134217728,0.5809
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,268435456,1.1071
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_gather,NCCL,int8,4,536870912,2.1014
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,256,0.01243
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,512,0.01239
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,1024,0.01244
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,2048,0.012400000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,4096,0.01264
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,8192,0.01323
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,16384,0.01411
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,32768,0.01451
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,65536,0.014960000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,131072,0.01567
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,262144,0.018600000000000002
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,524288,0.0252
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,1048576,0.03615
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,2097152,0.04144
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,4194304,0.060840000000000005
